R2_1,1,j_352,1,Terminated,373537,373538,50,0.2
M1,1,j_352,1,Terminated,373537,373538,50,0.2
R4_8,2,j_360,1,Terminated,208117,208141,100,0.49
R3_2,2,j_360,1,Terminated,208048,208083,100,0.49
J10_1_5_7_8_9,14,j_360,1,Terminated,208215,208346,100,0.59
M1,252,j_360,1,Terminated,208031,208039,100,0.3
J5_3_4,1,j_360,1,Terminated,208141,208215,100,0.59
R11_10,1,j_360,1,Terminated,208347,208351,100,0.39
M6,251,j_360,1,Terminated,208031,208038,100,0.3
M8,276,j_360,1,Terminated,208031,208117,100,0.3
M2,141,j_360,1,Terminated,208031,208047,100,0.3
M9,144,j_360,1,Terminated,208031,208041,100,0.3
R7_6,3,j_360,1,Terminated,208038,208075,100,0.49
R5_4,1,j_380,1,Terminated,370886,370909,50,0.2
R3_2,1,j_380,1,Terminated,370886,370900,50,0.2
R2_1,1,j_380,1,Terminated,370886,370897,50,0.2
M4_3,1,j_380,1,Terminated,370886,370905,50,0.2
M1,1,j_380,1,Terminated,370887,370894,50,0.2
M1,156,j_389,1,Terminated,366385,366422,100,0.49
R2_1,1,j_389,1,Terminated,366423,366517,100,0.39
R4_3,21,j_440,1,Terminated,481781,482264,50,0.39
M1,1,j_440,1,Terminated,481781,481784,50,0.2
R2_1,1,j_440,1,Terminated,481781,482156,50,0.2
M3_2,55,j_440,1,Terminated,481781,482171,50,0.39
R7_6,1,j_469,1,Terminated,129224,129227,100,0.39
M5_2_4,35,j_469,1,Terminated,129224,129227,100,0.3
M3,1,j_469,1,Terminated,129224,129224,100,0.3
R6_5,35,j_469,1,Terminated,129224,129227,100,0.49
R4_3,1,j_469,1,Terminated,129224,129224,100,0.39
M1,1,j_469,1,Terminated,129224,129224,100,0.3
R2_1,1,j_469,1,Terminated,129224,129224,100,0.39
R2_1,3,j_482,1,Terminated,250186,250202,50,0.3
M1,39,j_482,1,Terminated,250186,250196,50,0.59
R3_2,1,j_494,1,Terminated,644843,644848,100,0.39
R2_1,1,j_494,1,Terminated,644838,644842,100,0.49
M1,7,j_494,1,Terminated,644825,644838,100,0.49
M3_2,1,j_506,1,Terminated,160913,160987,100,0.25
M1,1,j_506,1,Terminated,160906,160909,100,0.3
R2_1,1,j_506,1,Terminated,160910,160912,100,0.39
R4_3,1,j_541,1,Terminated,677951,677973,50,0.15
M3_2,341,j_541,1,Terminated,677951,677971,50,0.3
M1,1,j_541,1,Terminated,677951,677953,50,0.15
R2_1,1,j_541,1,Terminated,677951,677954,50,0.15
M1,1,j_569,1,Terminated,616848,616848,100,0.3
M3_2,1,j_569,1,Terminated,616848,616854,100,0.25
R2_1,1,j_569,1,Terminated,616848,616848,100,0.39
M1,231,j_589,1,Terminated,440129,440133,50,0.3
R2_1,1,j_589,1,Terminated,440129,440134,50,0.2
J1_2,1,j_612,1,Terminated,250888,250892,100,0.59
R5_4,1,j_612,1,Terminated,250888,250892,100,0.49
M2,1,j_612,1,Terminated,250888,250892,100,0.3
R6_5,1,j_612,1,Terminated,250888,250892,100,0.39
J3_2,1,j_612,1,Terminated,250888,250892,100,0.59
R4_1_3,3,j_612,1,Terminated,250888,250892,100,0.49
R4_6,1,j_629,1,Terminated,87651,87669,50,0.2
R9_8,1,j_629,1,Terminated,87651,87675,50,0.2
R3_4,1,j_629,1,Terminated,87651,87669,50,0.2
R1_6,1,j_629,1,Terminated,87651,87670,50,0.3
J7_6,3,j_629,1,Terminated,87651,87675,50,0.3
R12_11,1,j_629,1,Terminated,87651,87654,50,0.2
R8_7,1,j_629,1,Terminated,87651,87675,50,0.2
